model,arm,naming,branching,role,layer,dim,seed,rho_cond_euc,rho_hyp,delta,shuffle_rho_hyp,n_train,n_val
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,16,2,5,0.055,0.0942,0.0392,-0.007,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,16,3,5,0.0608,0.1541,0.0932,0.0149,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,16,5,5,0.0683,0.2599,0.1916,-0.0136,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,16,8,5,0.1093,0.2639,0.1547,-0.0284,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,16,16,5,0.2213,0.3344,0.1131,-0.0653,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,20,2,0,0.0497,0.0958,0.0461,-0.0141,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,20,3,0,0.0423,0.1051,0.0628,-0.0589,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,20,5,0,0.0754,0.2271,0.1517,-0.0379,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,20,8,0,0.1205,0.1722,0.0516,0.0144,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,20,16,0,0.2242,0.1399,-0.0843,-0.0482,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,20,2,1,0.0106,0.086,0.0753,-0.0213,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,20,3,1,0.0299,0.103,0.0731,0.003,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,20,5,1,0.1016,0.2422,0.1406,-0.0366,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,20,8,1,0.1443,0.2548,0.1105,-0.0118,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,20,16,1,0.2415,0.2887,0.0472,-0.0257,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,20,2,2,0.0791,0.0591,-0.02,-0.0086,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,20,3,2,0.0726,0.139,0.0664,0.0032,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,20,5,2,0.0842,0.247,0.1628,0.018,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,20,8,2,0.1639,0.2538,0.0899,-0.0258,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,20,16,2,0.2518,0.152,-0.0999,0.0029,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,20,2,3,0.0573,0.07,0.0127,-0.032,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,20,3,3,0.0318,0.1347,0.103,-0.0425,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,20,5,3,0.0459,0.2402,0.1943,-0.0423,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,20,8,3,0.0586,0.2563,0.1977,0.0011,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,20,16,3,0.2357,0.0258,-0.2098,0.0456,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,20,2,4,0.0017,0.0686,0.0669,0.0201,42,18
