model,dataset,layer,token_source,metric,delta_rel,noise_floor,cloud_kind
Qwen/Qwen2.5-7B,prontoqa,14,last,raw,0.1372,0.0069,data
Qwen/Qwen2.5-7B,prontoqa,14,last,pca_only,0.1373,0.0069,data
Qwen/Qwen2.5-7B,prontoqa,14,last,per_cloud,0.0815,0.0022,data
Qwen/Qwen2.5-7B,prontoqa,14,last,background,0.1574,0.0042,data
Qwen/Qwen2.5-7B,prontoqa,14,all,raw,0.225,0.0053,data
Qwen/Qwen2.5-7B,prontoqa,14,all,pca_only,0.2265,0.0053,data
Qwen/Qwen2.5-7B,prontoqa,14,all,per_cloud,0.1123,0.0025,data
Qwen/Qwen2.5-7B,prontoqa,14,all,background,0.2167,0.0058,data
Qwen/Qwen2.5-7B,prontoqa,15,input,raw,0.1889,0.0055,data
Qwen/Qwen2.5-7B,prontoqa,15,input,pca_only,0.1909,0.0055,data
Qwen/Qwen2.5-7B,prontoqa,15,input,per_cloud,0.1128,0.0022,data
Qwen/Qwen2.5-7B,prontoqa,15,input,background,0.2057,0.0063,data
Qwen/Qwen2.5-7B,prontoqa,15,generated,raw,0.2531,0.0083,data
Qwen/Qwen2.5-7B,prontoqa,15,generated,pca_only,0.255,0.0085,data
Qwen/Qwen2.5-7B,prontoqa,15,generated,per_cloud,0.1072,0.003,data
Qwen/Qwen2.5-7B,prontoqa,15,generated,background,0.2427,0.0075,data
Qwen/Qwen2.5-7B,prontoqa,15,thinking,raw,0.1817,0.0069,data
Qwen/Qwen2.5-7B,prontoqa,15,thinking,pca_only,0.1821,0.0068,data
Qwen/Qwen2.5-7B,prontoqa,15,thinking,per_cloud,0.0822,0.0021,data
Qwen/Qwen2.5-7B,prontoqa,15,thinking,background,0.1703,0.0072,data
Qwen/Qwen2.5-7B,prontoqa,15,last,raw,0.1287,0.0051,data
Qwen/Qwen2.5-7B,prontoqa,15,last,pca_only,0.1289,0.0051,data
Qwen/Qwen2.5-7B,prontoqa,15,last,per_cloud,0.0832,0.0026,data
Qwen/Qwen2.5-7B,prontoqa,15,last,background,0.1605,0.006,data
Qwen/Qwen2.5-7B,prontoqa,15,all,raw,0.2334,0.0059,data
Qwen/Qwen2.5-7B,prontoqa,15,all,pca_only,0.2354,0.0061,data
Qwen/Qwen2.5-7B,prontoqa,15,all,per_cloud,0.1124,0.0027,data
Qwen/Qwen2.5-7B,prontoqa,15,all,background,0.2291,0.0065,data
Qwen/Qwen2.5-7B,prontoqa,16,input,raw,0.1802,0.0054,data
Qwen/Qwen2.5-7B,prontoqa,16,input,pca_only,0.1818,0.0054,data
