model,dataset,layer,token_source,metric,delta_data,delta_flat,delta_tree,delta_cluster,span,score,excess_over_cluster,noise_floor,n,dim
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,6,last,raw,0.0785,0.0329,0.0748,0.0391,-0.042,,-0.0394,0.0051,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,6,last,pca_only,0.0804,0.2167,0.0745,0.1662,0.1422,0.9583,0.0858,0.0052,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,6,last,per_cloud,0.119,0.2168,0.1122,0.1637,0.1045,0.9353,0.0447,0.0082,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,6,last,background,0.135,0.131,0.0578,0.1419,0.0732,-0.0551,0.0069,0.0134,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,6,all,raw,0.2088,0.0329,0.0748,0.0488,-0.042,,-0.16,0.0085,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,6,all,pca_only,0.2272,0.2167,0.0745,0.1544,0.1422,-0.0742,-0.0728,0.0085,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,6,all,per_cloud,0.2058,0.2168,0.1122,0.1654,0.1045,0.1051,-0.0404,0.0065,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,6,all,background,0.1969,0.131,0.0578,0.1051,0.0732,-0.9008,-0.0918,0.0092,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,7,input,raw,0.2491,0.0329,0.0748,0.0945,-0.042,,-0.1547,0.0151,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,7,input,pca_only,0.2522,0.2167,0.0745,0.1151,0.1422,-0.25,-0.1371,0.0154,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,7,input,per_cloud,0.203,0.2168,0.1122,0.1255,0.1045,0.1314,-0.0775,0.0039,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,7,input,background,0.2459,0.1275,0.0694,0.1105,0.0581,-2.038,-0.1354,0.006,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,7,generated,raw,0.1958,0.0329,0.0748,0.0576,-0.042,,-0.1382,0.0101,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,7,generated,pca_only,0.2137,0.2167,0.0745,0.1564,0.1422,0.0209,-0.0572,0.0092,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,7,generated,per_cloud,0.2002,0.2168,0.1122,0.1645,0.1045,0.1582,-0.0358,0.0065,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,7,generated,background,0.1934,0.1275,0.0694,0.1127,0.0581,-1.1355,-0.0808,0.0112,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,7,thinking,raw,0.155,0.0329,0.0748,0.069,-0.042,,-0.086,0.0086,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,7,thinking,pca_only,0.164,0.2167,0.0745,0.1227,0.1422,0.3702,-0.0413,0.0083,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,7,thinking,per_cloud,0.164,0.2168,0.1122,0.0969,0.1045,0.5051,-0.0671,0.01,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,7,thinking,background,0.18,0.1275,0.0694,0.2212,0.0581,-0.9038,0.0412,0.009,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,7,last,raw,0.081,0.0329,0.0748,0.0396,-0.042,,-0.0414,0.0057,100,3584
