model,dataset,layer,token_source,metric,delta_data,delta_flat,delta_tree,delta_cluster,span,score,excess_over_cluster,noise_floor,n,dim
Qwen/Qwen2.5-7B,prontoqa,6,all,raw,0.2171,0.0329,0.0748,0.0704,-0.042,,-0.1466,0.0078,100,3584
Qwen/Qwen2.5-7B,prontoqa,6,all,pca_only,0.2291,0.2167,0.0745,0.1319,0.1422,-0.0879,-0.0972,0.0083,100,3584
Qwen/Qwen2.5-7B,prontoqa,6,all,per_cloud,0.1971,0.2168,0.1122,0.1493,0.1045,0.188,-0.0478,0.0058,100,3584
Qwen/Qwen2.5-7B,prontoqa,6,all,background,0.2013,0.1394,0.0523,0.1025,0.0871,-0.7111,-0.0988,0.0066,100,3584
Qwen/Qwen2.5-7B,prontoqa,7,input,raw,0.2247,0.0329,0.0748,0.1266,-0.042,,-0.0982,0.0078,100,3584
Qwen/Qwen2.5-7B,prontoqa,7,input,pca_only,0.23,0.2167,0.0745,0.1502,0.1422,-0.0937,-0.0797,0.008,100,3584
Qwen/Qwen2.5-7B,prontoqa,7,input,per_cloud,0.2113,0.2168,0.1122,0.197,0.1045,0.0521,-0.0144,0.0043,100,3584
Qwen/Qwen2.5-7B,prontoqa,7,input,background,0.24,0.1391,0.0446,0.1152,0.0945,-1.0684,-0.1248,0.0069,100,3584
Qwen/Qwen2.5-7B,prontoqa,7,generated,raw,0.1993,0.0329,0.0748,0.065,-0.042,,-0.1343,0.0058,100,3584
Qwen/Qwen2.5-7B,prontoqa,7,generated,pca_only,0.2142,0.2167,0.0745,0.123,0.1422,0.0173,-0.0912,0.0064,100,3584
Qwen/Qwen2.5-7B,prontoqa,7,generated,per_cloud,0.186,0.2168,0.1122,0.1436,0.1045,0.2944,-0.0424,0.0065,100,3584
Qwen/Qwen2.5-7B,prontoqa,7,generated,background,0.1805,0.1391,0.0446,0.0815,0.0945,-0.4382,-0.099,0.0057,100,3584
Qwen/Qwen2.5-7B,prontoqa,7,thinking,raw,0.2173,0.0322,0.0761,0.0525,-0.0439,,-0.1647,0.0093,91,3584
Qwen/Qwen2.5-7B,prontoqa,7,thinking,pca_only,0.2191,0.2268,0.0758,0.1574,0.151,0.0512,-0.0617,0.009,91,3584
Qwen/Qwen2.5-7B,prontoqa,7,thinking,per_cloud,0.1221,0.2276,0.1002,0.1386,0.1273,0.8283,0.0165,0.0079,91,3584
Qwen/Qwen2.5-7B,prontoqa,7,thinking,background,0.2447,0.1395,0.0447,0.1651,0.0948,-1.1106,-0.0796,0.0103,91,3584
Qwen/Qwen2.5-7B,prontoqa,7,last,raw,0.086,0.0329,0.0748,0.0495,-0.042,,-0.0365,0.0121,100,3584
Qwen/Qwen2.5-7B,prontoqa,7,last,pca_only,0.0863,0.2167,0.0745,0.1764,0.1422,0.9167,0.0901,0.0121,100,3584
Qwen/Qwen2.5-7B,prontoqa,7,last,per_cloud,0.1212,0.2168,0.1122,0.1647,0.1045,0.9138,0.0435,0.0063,100,3584
Qwen/Qwen2.5-7B,prontoqa,7,last,background,0.2122,0.1391,0.0446,0.1717,0.0945,-0.7743,-0.0405,0.0358,100,3584
Qwen/Qwen2.5-7B,prontoqa,7,all,raw,0.2085,0.0329,0.0748,0.0856,-0.042,,-0.1229,0.0082,100,3584
Qwen/Qwen2.5-7B,prontoqa,7,all,pca_only,0.2201,0.2167,0.0745,0.1305,0.1422,-0.0243,-0.0896,0.0087,100,3584
Qwen/Qwen2.5-7B,prontoqa,7,all,per_cloud,0.1941,0.2168,0.1122,0.1451,0.1045,0.2165,-0.049,0.0064,100,3584
Qwen/Qwen2.5-7B,prontoqa,7,all,background,0.1969,0.1391,0.0446,0.0937,0.0945,-0.612,-0.1032,0.0054,100,3584
Qwen/Qwen2.5-7B,prontoqa,8,input,raw,0.2194,0.0329,0.0748,0.1356,-0.042,,-0.0838,0.0084,100,3584
Qwen/Qwen2.5-7B,prontoqa,8,input,pca_only,0.2262,0.2167,0.0745,0.1627,0.1422,-0.0673,-0.0635,0.0085,100,3584
Qwen/Qwen2.5-7B,prontoqa,8,input,per_cloud,0.2095,0.2168,0.1122,0.1986,0.1045,0.0692,-0.0109,0.0031,100,3584
Qwen/Qwen2.5-7B,prontoqa,8,input,background,0.238,0.1388,0.0599,0.1129,0.0789,-1.2575,-0.1251,0.0058,100,3584
Qwen/Qwen2.5-7B,prontoqa,8,generated,raw,0.1999,0.0329,0.0748,0.0662,-0.042,,-0.1337,0.0058,100,3584
Qwen/Qwen2.5-7B,prontoqa,8,generated,pca_only,0.2139,0.2167,0.0745,0.1164,0.1422,0.0194,-0.0975,0.0065,100,3584
Qwen/Qwen2.5-7B,prontoqa,8,generated,per_cloud,0.1798,0.2168,0.1122,0.1419,0.1045,0.3537,-0.0379,0.0061,100,3584
Qwen/Qwen2.5-7B,prontoqa,8,generated,background,0.1796,0.1388,0.0599,0.0787,0.0789,-0.5167,-0.1008,0.005,100,3584
Qwen/Qwen2.5-7B,prontoqa,8,thinking,raw,0.2245,0.0322,0.0761,0.0548,-0.0439,,-0.1697,0.009,91,3584
Qwen/Qwen2.5-7B,prontoqa,8,thinking,pca_only,0.227,0.2268,0.0758,0.1594,0.151,-0.0016,-0.0677,0.0093,91,3584
Qwen/Qwen2.5-7B,prontoqa,8,thinking,per_cloud,0.1166,0.2276,0.1002,0.1396,0.1273,0.8715,0.023,0.0089,91,3584
Qwen/Qwen2.5-7B,prontoqa,8,thinking,background,0.2354,0.1373,0.0595,0.1439,0.0777,-1.2631,-0.0915,0.0106,91,3584
Qwen/Qwen2.5-7B,prontoqa,8,last,raw,0.1028,0.0329,0.0748,0.0499,-0.042,,-0.0529,0.014,100,3584
Qwen/Qwen2.5-7B,prontoqa,8,last,pca_only,0.1031,0.2167,0.0745,0.1651,0.1422,0.799,0.0621,0.0141,100,3584
Qwen/Qwen2.5-7B,prontoqa,8,last,per_cloud,0.1178,0.2168,0.1122,0.1555,0.1045,0.9467,0.0377,0.0091,100,3584
Qwen/Qwen2.5-7B,prontoqa,8,last,background,0.1155,0.1388,0.0599,0.1549,0.0789,0.2956,0.0394,0.0079,100,3584
Qwen/Qwen2.5-7B,prontoqa,8,all,raw,0.207,0.0329,0.0748,0.0946,-0.042,,-0.1124,0.0083,100,3584
Qwen/Qwen2.5-7B,prontoqa,8,all,pca_only,0.2186,0.2167,0.0745,0.1265,0.1422,-0.0137,-0.0921,0.0084,100,3584
Qwen/Qwen2.5-7B,prontoqa,8,all,per_cloud,0.1929,0.2168,0.1122,0.1427,0.1045,0.2285,-0.0502,0.006,100,3584
